Age Group,Age,Income
Youth,19,22000
Youth,19,22500
Youth,19,23000
Youth,21,24000
Youth,21,24500
Youth,21,25000
Youth,23,26000
Youth,23,26500
Youth,23,27000
Youth,24,28000
Youth,24,28500
Youth,24,29000
Youth,25,30000
Youth,25,30500
Youth,25,31000
Young Adult,26,35000
Young Adult,26,35500
Young Adult,26,36000
Young Adult,28,38000
Young Adult,28,38500
Young Adult,28,39000
Young Adult,30,42000
Young Adult,30,42500
Young Adult,30,43000
Young Adult,32,45000
Young Adult,32,45500
Young Adult,32,46000
Young Adult,35,48000
Young Adult,35,48500
Young Adult,35,49000
Adult,36,52000
Adult,36,52500
Adult,36,53000
Adult,38,55000
Adult,38,55500
Adult,38,56000
Adult,40,58000
Adult,40,58500
Adult,40,59000
Adult,42,61000
Adult,42,61500
Adult,42,62000
Adult,45,65000
Adult,45,65500
Adult,45,66000
Middle Aged,46,68000
Middle Aged,46,68500
Middle Aged,46,69000
Middle Aged,48,72000
Middle Aged,48,72500
Middle Aged,48,73000
Middle Aged,50,76000
Middle Aged,50,76500
Middle Aged,50,77000
Middle Aged,52,80000
Middle Aged,52,80500
Middle Aged,52,81000
Middle Aged,55,85000
Middle Aged,55,85500
Middle Aged,55,86000
Senior Adult,56,88000
Senior Adult,56,88500
Senior Adult,56,89000
Senior Adult,58,92000
Senior Adult,58,92500
Senior Adult,58,93000
Senior Adult,60,96000
Senior Adult,60,96500
Senior Adult,60,97000
Senior Adult,62,100000
Senior Adult,62,100500
Senior Adult,62,101000
Senior Adult,65,105000
Senior Adult,65,105500
Senior Adult,65,106000
Retired,66,90000
Retired,66,89500
Retired,66,89000
Retired,68,88000
Retired,68,87500
Retired,68,87000
Retired,70,86000
Retired,70,85500
Retired,70,85000
Retired,72,84000
Retired,72,83500
Retired,72,83000
Retired,75,82000
Retired,75,81500
Retired,75,81000
